date,z_gc_comex_carry_2m,z_gc_comex_carry_4m,z_si_comex_carry_2m,z_gc_cal_curvature,z_gc_si_cal_ratio,z_gc_comex_lbma_basis,z_si_comex_lbma_basis,z_gc_si_comex_basis_spread,z_gc_comex_curve_slope,z_xau_lbma_slope_1m_3m,z_xau_swap_slope_1m_3m,z_comex_lbma_slope_basis,z_comex_vs_swap_slope,rate_regime
2018-01-01,,,,,,,,,,,,,,mid
2018-01-02,,,,,,,,,,,,,,mid
2018-01-03,,,,,,,,,,,,,,mid
2018-01-04,,,,,,,,,,,,,,mid
2018-01-05,,,,,,,,,,,,,,mid
2018-01-06,,,,,,,,,,,,,,mid
2018-01-07,,,,,,,,,,,,,,mid
2018-01-08,,,,,,,,,,,,,,mid
2018-01-09,,,,,,,,,,,,,,mid
2018-01-10,,,,,,,,,,,,,,mid
2018-01-11,,,,,,,,,,,,,,mid
2018-01-12,,,,,,,,,,,,,,mid
2018-01-13,,,,,,,,,,,,,,mid
2018-01-14,,,,,,,,,,,,,,mid
2018-01-15,,,,,,,,,,,,,,mid
2018-01-16,,,,,,,,,,,,,,mid
2018-01-17,,,,,,,,,,,,,,mid
2018-01-18,,,,,,,,,,,,,,mid
2018-01-19,,,,,,,,,,,,,,mid
2018-01-20,,,,,,,,,,,,,,mid
2018-01-21,,,,,,,,,,,,,,mid
2018-01-22,,,,,,,,,,,,,,mid
2018-01-23,,,,,,,,,,,,,,mid
2018-01-24,,,,,,,,,,,,,,mid
2018-01-25,,,,,,,,,,,,,,mid
2018-01-26,,,,,,,,,,,,,,mid
2018-01-27,,,,,,,,,,,,,,mid
2018-01-28,,,,,,,,,,,,,,mid
2018-01-29,,,,,,,,,,,,,,mid
2018-01-30,,,,,,,,,,,,,,mid
2018-01-31,,,,,,,,,,,,,,mid
2018-02-01,,,,,,,,,,,,,,mid
2018-02-02,,,,,,,,,,,,,,mid
2018-02-03,,,,,,,,,,,,,,mid
2018-02-04,,,,,,,,,,,,,,mid
2018-02-05,,,,,,,,,,,,,,mid
2018-02-06,,,,,,,,,,,,,,mid
2018-02-07,,,,,,,,,,,,,,mid
2018-02-08,,,,,,,,,,,,,,mid
2018-02-09,,,,,,,,,,,,,,mid
2018-02-10,,,,,,,,,,,,,,mid
2018-02-11,,,,,,,,,,,,,,mid
2018-02-12,,,,,,,,,,,,,,mid
2018-02-13,,,,,,,,,,,,,,mid
2018-02-14,,,,,,,,,,,,,,mid
2018-02-15,,,,,,,,,,,,,,mid
2018-02-16,,,,,,,,,,,,,,mid
2018-02-17,,,,,,,,,,,,,,mid
2018-02-18,,,,,,,,,,,,,,mid
2018-02-19,,,,,,,,,,,,,,mid
2018-02-20,,,,,,,,,,,,,,mid
2018-02-21,,,,,,,,,,,,,,mid
2018-02-22,,,,,,,,,,,,,,mid
2018-02-23,,,,,,,,,,,,,,mid
2018-02-24,,,,,,,,,,,,,,mid
2018-02-25,,,,,,,,,,,,,,mid
2018-02-26,,,,,,,,,,,,,,mid
2018-02-27,,,,,,,,,,,,,,mid
2018-02-28,,,,,,,,,,,,,,mid
2018-03-01,,,,,,,,,,,,,,mid
2018-03-02,,,,,,,,,,,,,,mid
2018-03-03,,,,,,,,,,,,,,mid
2018-03-04,,,,,,,,,,,,,,mid
2018-03-05,,,,,,,,,,,,,,mid
2018-03-06,,,,,,,,,,,,,,mid
2018-03-07,,,,,,,,,,,,,,mid
