entrydate,fnd1date,fdd1date,exitdate,metal,f1contract,f2contract,f1entry,f2entry,switchentry,entrycarry,entrydtefnd1,entrydtefdd1,daycount,holddays,carrypnlbp,execcostbp_total,totalpnlbp,year
2018-01-02,2018-02-28,2018-03-01,2018-05-01,SI,SI Mar-2018,SI May-2018,17.21,17.28,0.08,83.17,57,58,61,119,14.09,1.0,13.09,2018
2018-05-04,2018-06-29,2018-07-02,2018-09-03,SI,SI Jul-2018,SI Sep-2018,16.52,16.6,0.09,81.19,56,59,63,122,14.21,1.0,13.21,2018
2018-09-04,2018-11-30,2018-12-03,2019-01-01,SI,SI Dec-2018,SI Jan-2019,14.18,14.28,0.1,674.17,87,90,29,119,54.31,1.0,53.31,2018
2019-01-09,2019-02-28,2019-03-01,2019-05-01,SI,SI Mar-2019,SI May-2019,15.74,15.83,0.1,83.45,50,51,61,112,14.14,1.0,13.14,2019
2019-07-07,2019-08-30,2019-09-02,2019-12-02,SI,SI Sep-2019,SI Dec-2019,15.0,15.12,0.12,87.11,54,57,91,148,22.02,1.0,21.02,2019
2019-12-03,2019-12-31,2020-01-01,2020-03-02,SI,SI Jan-2020,SI Mar-2020,17.25,17.34,0.09,106.3,28,29,61,90,18.01,1.0,17.01,2020
2020-03-03,2020-04-30,2020-05-01,2020-07-01,SI,SI May-2020,SI Jul-2020,17.19,17.25,0.06,92.98,58,59,61,120,15.76,1.0,14.76,2020
2020-07-02,2020-08-31,2020-09-01,2020-12-01,SI,SI Sep-2020,SI Dec-2020,18.32,18.51,0.19,368.39,60,61,91,152,93.12,1.0,92.12,2020
2020-12-02,2020-12-31,2021-01-01,2021-03-01,SI,SI Jan-2021,SI Mar-2021,24.08,24.14,0.06,117.58,29,30,59,89,19.27,1.0,18.27,2021
2021-09-02,2021-11-30,2021-12-01,2022-01-03,SI,SI Dec-2021,SI Jan-2022,23.92,23.97,0.05,195.57,89,90,33,123,17.93,1.0,16.93,2021
2022-03-31,2022-04-29,2022-05-02,2022-07-01,SI,SI May-2022,SI Jul-2022,25.13,25.2,0.07,82.17,29,32,60,92,13.69,1.0,12.69,2022
2022-07-07,2022-08-31,2022-09-01,2022-12-01,SI,SI Sep-2022,SI Dec-2022,19.19,19.35,0.16,84.11,55,56,91,147,21.26,1.0,20.26,2022
2023-09-02,2023-11-30,2023-12-01,2024-01-01,SI,SI Dec-2023,SI Jan-2024,24.56,24.93,0.36,1156.42,89,90,31,121,99.58,1.0,98.58,2023
2024-09-03,2024-11-29,2024-12-02,2025-01-01,SI,SI Dec-2024,SI Jan-2025,28.34,28.72,0.37,1030.5,87,90,30,120,85.88,1.0,84.88,2024
2025-01-02,2025-02-28,2025-03-03,2025-05-01,SI,SI Mar-2025,SI May-2025,29.9,30.2,0.3,147.06,57,60,59,119,24.1,1.0,23.1,2025
2025-05-07,2025-06-30,2025-07-01,2025-09-01,SI,SI Jul-2025,SI Sep-2025,32.79,33.1,0.31,86.26,54,55,62,117,14.86,1.0,13.86,2025
2025-09-02,2025-11-28,2025-12-01,2026-01-01,SI,SI Dec-2025,SI Jan-2026,41.59,42.08,0.49,899.8,87,90,31,121,77.48,1.0,76.48,2025
